p80,p81,p82,p83
14642.105,1677.8948,570.5263,384.21054
14306.315,1638.9474,556.8421,375.78946
14127.368,1618.9474,550.5263,370.5263
14117.895,1617.8948,549.4737,370.5263
14303.158,1638.9474,556.8421,375.78946
14527.368,1664.2106,566.3158,381.05264
14752.632,1690.5264,574.7368,387.3684
14908.421,1708.421,581.0526,391.57895
15165.263,1737.8948,590.5263,397.89474
15429.474,1768.421,601.0526,405.26315
15486.315,1774.7368,603.1579,406.3158
15402.105,1765.2632,600,404.21054
15228.421,1745.2632,593.6842,400
14984.211,1716.8422,584.2105,393.6842
14957.895,1713.6842,583.1579,392.6316
15530.526,1778.9474,605.2632,407.3684
16382.105,1876.8422,637.8947,429.4737
16653.684,1908.421,648.4211,436.8421
16569.475,1898.9474,645.2632,434.73685
16326.315,1870.5264,635.7895,428.42105
15911.579,1823.1578,620,417.89474
15173.685,1738.9474,591.5789,397.89474
14310.526,1640,557.8947,375.78946
13687.368,1568.421,533.6842,358.94736
13238.947,1516.8422,515.7895,347.3684
13031.579,1493.6842,507.3684,342.10526
13010.526,1490.5264,506.3158,341.05264
13146.315,1506.3158,512.6316,345.26315
13772.632,1577.8948,536.8421,361.05264
14752.632,1690.5264,574.7368,387.3684
15440,1769.4736,601.0526,405.26315
15957.895,1828.421,622.1053,418.94736
16347.368,1872.6316,636.8421,429.4737
16470.525,1887.3684,642.1053,432.6316
16423.158,1882.1052,640,430.5263
16183.158,1853.6842,630.5263,424.21054
15917.895,1824.2106,620,417.89474
15644.211,1792.6316,609.4737,410.5263
15558.947,1783.1578,606.3158,408.42105
16208.421,1856.8422,631.5789,425.26315
17211.578,1971.579,670.5263,451.57895
17477.895,2002.1052,681.0526,458.94736
17449.475,1998.9474,680,457.89474
17223.158,1973.6842,670.5263,451.57895
16786.316,1923.1578,653.6842,441.05264
16091.579,1844.2106,626.3158,422.10526
15233.685,1745.2632,593.6842,400
14485.263,1660,564.2105,380
13948.421,1597.8948,543.1579,366.3158
13633.685,1562.1052,531.5789,357.89474
