generator_type,name,available,bus,bus_number,active_power,reactive_power,rating,active_power_limits_min,active_power_limits_max,reactive_power_limits,base_power,prime_mover_type,fuel,operation_cost,ts_column_name,status,ramp_limits,time_limits,must_run,time_at_status,power_factor,lat,lon,plant_name,ext_id
Hydro,generator-276618-8409554158,true,W3-135_276618,276618,12.1,4.517,13.421731035898464,0.0,12.1,"min=-3.993, max=5.808",13.31,HY,Water,"HydroGenerationCost(CostCurve{LinearCurve}(LinearCurve(0.0, 0.0), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0)",generator-276618-8409554158,,,,,,,41.36,-88.31,,H1
Hydro,generator-344863-1244753151,true,1KEOK  10_344863,344863,9.500000000000002,1.0810000000000002,10.998927220415636,9.500000000000002,10.0,"min=-2.75, max=4.58",11.0,HY,Water,"HydroGenerationCost(CostCurve{LinearCurve}(LinearCurve(1.0, 0.0), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0)",NO_TS,,,,,,,40.4,-91.37,Keokuk,10
Hydro,generator-344862-2668893486,true,1KEOK 5-6_344862,344862,9.4,1.168,11.234518236221792,9.4,10.0,"min=-2.3000000000000003, max=5.120000000000001",11.0,HY,Water,"HydroGenerationCost(CostCurve{LinearCurve}(LinearCurve(1.0, 0.0), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0)",NO_TS,,,,,,,40.4,-91.37,Keokuk,6
Hydro,generator-344861-6574074383,true,1KEOK 1-4_344861,344861,9.500000000000002,4.58,10.998927220415636,9.500000000000002,10.0,"min=0.0, max=4.58",11.0,HY,Water,"HydroGenerationCost(CostCurve{LinearCurve}(LinearCurve(1.0, 0.0), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0)",NO_TS,,,,,,,40.4,-91.37,Keokuk,4
Hydro,generator-344861-193221897,true,1KEOK 1-4_344861,344861,9.500000000000002,4.58,10.998927220415636,9.500000000000002,10.0,"min=0.0, max=4.58",11.0,HY,Water,"HydroGenerationCost(CostCurve{LinearCurve}(LinearCurve(1.0, 0.0), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0)",NO_TS,,,,,,,40.4,-91.37,Keokuk,3
Hydro,generator-344863-5738649675,true,1KEOK  10_344863,344863,9.500000000000002,1.0810000000000002,10.998927220415636,9.500000000000002,10.0,"min=-2.75, max=4.58",11.0,HY,Water,"HydroGenerationCost(CostCurve{LinearCurve}(LinearCurve(1.0, 0.0), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0)",NO_TS,,,,,,,40.4,-91.37,Keokuk,11
Hydro,generator-344860-8075863784,true,1KEOK   7_344860,344860,9.4,0.721,12.682271089990152,9.4,10.0,"min=-1.5000000000000002, max=7.8",11.0,HY,Water,"HydroGenerationCost(CostCurve{LinearCurve}(LinearCurve(1.0, 0.0), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0)",NO_TS,,,,,,,40.4,-91.37,Keokuk,7
Hydro,generator-344861-7397544407,true,1KEOK 1-4_344861,344861,9.500000000000002,4.58,10.998927220415636,9.500000000000002,10.0,"min=0.0, max=4.58",11.0,HY,Water,"HydroGenerationCost(CostCurve{LinearCurve}(LinearCurve(1.0, 0.0), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0)",NO_TS,,,,,,,40.4,-91.37,Keokuk,1
Hydro,generator-344861-220060242,true,1KEOK 1-4_344861,344861,9.500000000000002,4.58,10.998927220415636,9.500000000000002,10.0,"min=0.0, max=4.58",11.0,HY,Water,"HydroGenerationCost(CostCurve{LinearCurve}(LinearCurve(1.0, 0.0), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0)",NO_TS,,,,,,,40.4,-91.37,Keokuk,2
Hydro,generator-344864-1106989753,true,1KEOK  12_344864,344864,9.500000000000002,0.5630000000000001,10.998927220415636,9.500000000000002,10.0,"min=-2.75, max=4.58",11.0,HY,Water,"HydroGenerationCost(CostCurve{LinearCurve}(LinearCurve(1.0, 0.0), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0)",NO_TS,,,,,,,40.4,-91.37,Keokuk,13
Hydro,generator-344864-85164086,true,1KEOK  12_344864,344864,9.500000000000002,0.5630000000000001,10.998927220415636,9.500000000000002,10.0,"min=-2.75, max=4.58",11.0,HY,Water,"HydroGenerationCost(CostCurve{LinearCurve}(LinearCurve(1.0, 0.0), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0)",NO_TS,,,,,,,40.4,-91.37,Keokuk,12
Hydro,generator-344864-975630833,true,1KEOK  12_344864,344864,9.500000000000002,0.5630000000000001,12.149485585818029,9.500000000000002,10.0,"min=-3.2000000000000006, max=6.900000000000002",11.0,HY,Water,"HydroGenerationCost(CostCurve{LinearCurve}(LinearCurve(1.0, 0.0), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0)",NO_TS,,,,,,,40.4,-91.37,Keokuk,14
Hydro,generator-344862-4961655105,true,1KEOK 5-6_344862,344862,8.000000000000002,0.994,9.498126130979731,8.000000000000002,8.000000000000002,"min=-2.3000000000000003, max=5.120000000000001",11.0,HY,Water,"HydroGenerationCost(CostCurve{LinearCurve}(LinearCurve(1.0, 0.0), UnitSystem.NATURAL_UNITS = 2, LinearCurve(0.0, 0.0)), 0.0)",NO_TS,,,,,,,40.4,-91.37,Keokuk,5
